iter	Passed	Remaining
775	26117	7538
776	26148	7504
777	26182	7471
778	26216	7437
779	26249	7403
780	26282	7369
781	26314	7335
782	26350	7302
783	26383	7268
784	26416	7235
785	26447	7200
786	26480	7166
787	26513	7133
788	26546	7099
789	26577	7064
790	26613	7031
791	26649	6998
792	26681	6964
793	26711	6930
794	26743	6896
795	26776	6862
796	26812	6829
797	26846	6795
798	26880	6762
799	26913	6728
800	26943	6693
801	26976	6659
802	27010	6626
803	27045	6593
804	27084	6560
805	27120	6527
806	27150	6493
807	27180	6458
808	27212	6424
809	27242	6390
810	27274	6356
811	27308	6322
812	27339	6288
813	27372	6254
814	27406	6221
815	27438	6187
816	27469	6152
817	27503	6119
818	27539	6086
819	27572	6052
820	27606	6018
821	27639	5985
822	27670	5950
823	27704	5917
824	27737	5883
825	27771	5850
826	27806	5816
827	27839	5783
828	27870	5748
829	27903	5715
830	27937	5681
831	27969	5647
832	28001	5613
833	28034	5580
834	28065	5545
835	28097	5511
836	28130	5478
837	28164	5444
838	28199	5411
839	28231	5377
840	28260	5343
841	28293	5309
842	28329	5276
843	28363	5242
844	28399	5209
845	28437	5176
846	28471	5143
847	28505	5109
848	28540	5076
849	28575	5042
850	28612	5009
851	28643	4975
852	28678	4942
853	28711	4908
854	28742	4874
855	28773	4840
856	28808	4806
857	28844	4773
858	28874	4739
859	28906	4705
860	28937	4671
861	28970	4637
862	29003	4604
863	29034	4570
864	29070	4537
865	29104	4503
866	29133	4469
867	29167	4435
868	29197	4401
869	29229	4367
870	29266	4334
871	29296	4300
872	29333	4267
873	29363	4233
874	29396	4199
875	29430	4165
876	29461	4132
877	29495	4098
878	29526	4064
879	29559	4030
880	29592	3997
881	29624	3963
882	29658	3929
883	29691	3896
884	29726	3862
885	29763	3829
886	29802	3796
887	29837	3763
888	29871	3729
889	29905	3696
890	29941	3662
891	29975	3629
892	30011	3596
893	30045	3562
894	30080	3528
895	30110	3495
896	30142	3461
897	30176	3427
898	30229	3396
899	30271	3363
900	30309	3330
901	30352	3297
902	30392	3264
903	30428	3231
904	30460	3197
905	30492	3163
906	30519	3129
907	30552	3095
908	30589	3062
909	30621	3028
910	30653	2994
911	30685	2960
912	30718	2927
913	30752	2893
914	30787	2860
915	30819	2826
916	30853	2792
917	30884	2758
918	30914	2724
919	30948	2691
920	30981	2657
921	31025	2624
922	31063	2591
923	31097	2557
924	31129	2523
925	31162	2490
926	31194	2456
927	31229	2422
928	31264	2389
929	31296	2355
930	31326	2321
931	31359	2288
932	31392	2254
933	31428	2220
934	31462	2187
935	31496	2153
936	31527	2119
937	31559	2086
938	31591	2052
939	31624	2018
940	31658	1984
941	31693	1951
942	31725	1917
943	31757	1883
944	31788	1850
945	31821	1816
946	31854	1782
947	31891	1749
948	31922	1715
949	31955	1681
950	31989	1648
951	32019	1614
952	32050	1580
953	32083	1546
954	32117	1513
955	32153	1479
956	32191	1446
957	32223	1412
958	32253	1378
959	32287	1345
960	32317	1311
961	32352	1277
962	32386	1244
963	32419	1210
964	32451	1176
965	32483	1143
966	32517	1109
967	32551	1076
968	32584	1042
969	32617	1008
970	32650	975
971	32679	941
972	32712	907
973	32744	874
974	32778	840
975	32811	806
976	32842	773
977	32874	739
978	32907	705
979	32939	672
980	32971	638
981	33006	605
982	33045	571
983	33077	537
984	33110	504
985	33142	470
986	33175	436
987	33206	403
988	33241	369
989	33273	336
990	33307	302
991	33337	268
992	33367	235
993	33403	201
994	33437	168
995	33470	134
996	33503	100
997	33537	67
998	33570	33
999	33597	0
